id,PPR
130000_train2,0.7123344571230982
130001_train2,0.8237102122015915
130002_train2,0.7538516968851696
130003_train2,0.7530392156862745
130004_train2,0.7245118047218887
130005_train2,0.7239269911504425
130006_train2,0.7069437490517373
130007_train2,0.7298754113775271
130008_train2,0.7119693479801559
130009_train2,0.7292452909519005
130010_train2,0.728023358193495
130011_train2,0.7164441340782123
130012_train2,0.732774231678487
130013_train2,0.7210172343164793
130014_train2,0.7109713582166926
130015_train2,0.7079472411831627
130016_train2,0.6994767263314907
130017_train2,0.7533605702364395
130018_train2,0.7128293172690763
130019_train2,0.7199542627149652
130020_train2,0.7228684307239985
130021_train2,0.7231413872770255
130022_train2,0.7396642246642247
130023_train2,0.7207446294955346
130024_train2,0.7290958523014669
130025_train2,0.7363634259259259
130026_train2,0.7303121945259042
130027_train2,0.7156242505995204
130028_train2,0.7373669849931788
130029_train2,0.9445178883071553
130030_train2,0.707188048658139
130031_train2,0.7314598178939035
130032_train2,0.7197838541666667
130033_train2,0.7210267175572519
130034_train2,0.7247652393217429
130035_train2,0.7066626712328767
130036_train2,0.7205849253403601
130037_train2,0.7502014218009478
130038_train2,0.6972436639501142
130039_train2,0.715907058254774
130040_train2,0.7060993715632364
130041_train2,0.750709706959707
130042_train2,0.710402081675948
130043_train2,0.7091935383244207
130044_train2,0.733283656234476
130045_train2,0.7155737704918033
130046_train2,0.7299094202898551
130047_train2,0.7346289866255143
130048_train2,0.7082057477110885
130049_train2,0.7155601851851852
130050_train2,0.7082537898071157
130051_train2,0.7151482371794872
130052_train2,0.7292697890559733
130053_train2,0.7153034664747511
130054_train2,0.7370751455604075
130055_train2,0.720109126984127
130056_train2,0.7352934358223524
130057_train2,0.7017853994490357
130058_train2,0.7738442028985507
130059_train2,0.9505955284552846
130060_train2,0.7594920844327178
130061_train2,0.7387172750737464
130062_train2,0.7022833618071374
130063_train2,0.7524648941068139
130064_train2,0.7104045454545455
130065_train2,0.7430754930488199
130066_train2,0.7278071140447379
130067_train2,0.7335168038408779
130068_train2,0.7206114208118926
130069_train2,0.7170802696078431
130070_train2,0.7529290069686412
130071_train2,0.713488475177305
130072_train2,0.7149321514554607
130073_train2,0.7002903405101801
130074_train2,0.7073701445347788
130075_train2,0.7873709577114427
130076_train2,0.7499272798742139
130077_train2,0.7226424936386768
130078_train2,0.7439576623725175
130079_train2,0.7090121989860583
130080_train2,0.7067417668001781
130081_train2,0.7376167523564695
130082_train2,0.7166949152542372
130083_train2,0.7068062850816211
130084_train2,0.7279255508173419
130085_train2,0.7461435105774729
130086_train2,0.725016081871345
130087_train2,0.7333535464902609
130088_train2,0.7728233568075117
130089_train2,0.723037821888412
130090_train2,0.7286314521144278
130091_train2,0.741751572327044
130092_train2,0.7497149339933994
130093_train2,0.7082008747422337
130094_train2,0.7175075757575757
130095_train2,0.7262343137254902
130096_train2,0.7383291708291708
130097_train2,0.796455773955774
130098_train2,0.7178554778554779
130099_train2,0.7275599103277675
130100_train2,0.7554904450895017
130101_train2,0.7097107168213399
130102_train2,0.7192581543357199
130103_train2,0.7241786376274327
130104_train2,0.6998282086347862
130105_train2,0.7381891025641025
130106_train2,0.7316287037037037
130107_train2,0.7468656769936891
130108_train2,0.73783902323376
130109_train2,0.705504217791411
130110_train2,0.7023888960591981
130111_train2,0.7122368356779992
130112_train2,0.7028589432932264
130113_train2,0.7421030324737345
130114_train2,0.7436890328874025
130115_train2,0.7311276639768259
130116_train2,0.7359830024067389
130117_train2,0.7109845791420975
130118_train2,0.7383045343137254
130119_train2,0.710317707320236
130120_train2,0.7073587570621468
130121_train2,0.7293545902649414
130122_train2,0.8581212797619048
130123_train2,0.7313901715039577
130124_train2,0.7131627787558685
130125_train2,0.7072564202672219
130126_train2,0.7398030679933665
130127_train2,0.7005656662409536
130128_train2,0.7217745944531659
130129_train2,0.7176524710830705
130130_train2,0.7198632109431246
130131_train2,0.7117169811320755
130132_train2,0.7503421985815604
130133_train2,0.724603572970639
130134_train2,0.7021928602058319
130135_train2,0.7081247942590032
130136_train2,0.716832045949693
130137_train2,0.7064404259401382
130138_train2,0.7223705281605027
130139_train2,0.7520465554359527
130140_train2,0.675409604519774
