id,ND80
130000_train2,0.0
130001_train2,0.0
130002_train2,0.0
130003_train2,0.0
130004_train2,0.0
130005_train2,0.0
130006_train2,0.0
130007_train2,0.0
130008_train2,0.0
130009_train2,0.0
130010_train2,0.0
130011_train2,0.0
130012_train2,0.0
130013_train2,0.0
130014_train2,0.0
130015_train2,0.0
130016_train2,0.0
130017_train2,0.0
130018_train2,0.0
130019_train2,0.0
130020_train2,0.0
130021_train2,0.0
130022_train2,0.0
130023_train2,0.0
130024_train2,0.0
130025_train2,0.0
130026_train2,0.0
130027_train2,0.0
130028_train2,0.0
130029_train2,0.2968944099378888
130030_train2,0.0
130031_train2,0.0
130032_train2,0.0
130033_train2,0.0
130034_train2,0.0
130035_train2,0.0
130036_train2,0.0
130037_train2,0.0
130038_train2,0.0
130039_train2,0.0
130040_train2,0.0
130041_train2,0.0
130042_train2,0.0
130043_train2,0.0
130044_train2,0.0
130045_train2,0.0
130046_train2,0.0
130047_train2,0.0
130048_train2,0.0
130049_train2,0.0
130050_train2,0.0
130051_train2,0.0
130052_train2,0.0
130053_train2,0.0
130054_train2,0.0
130055_train2,0.0
130056_train2,0.0
130057_train2,0.0
130058_train2,0.0
130059_train2,0.30205385668644436
130060_train2,0.0
130061_train2,0.0
130062_train2,0.0
130063_train2,0.0
130064_train2,0.0
130065_train2,0.0
130066_train2,0.0
130067_train2,0.0
130068_train2,0.0
130069_train2,0.0
130070_train2,0.0
130071_train2,0.0
130072_train2,0.0
130073_train2,0.0
130074_train2,0.0
130075_train2,0.0
130076_train2,0.0
130077_train2,0.0
130078_train2,0.0
130079_train2,0.0
130080_train2,0.0
130081_train2,0.0
130082_train2,0.0
130083_train2,0.0
130084_train2,0.0
130085_train2,0.0
130086_train2,0.0
130087_train2,0.0
130088_train2,0.0
130089_train2,0.0
130090_train2,0.0
130091_train2,0.0
130092_train2,0.0
130093_train2,0.0
130094_train2,0.0
130095_train2,0.0
130096_train2,0.0
130097_train2,0.0
130098_train2,0.0
130099_train2,0.0
130100_train2,0.0
130101_train2,0.0
130102_train2,0.0
130103_train2,0.0
130104_train2,0.0
130105_train2,0.0
130106_train2,0.0
130107_train2,0.0
130108_train2,0.0
130109_train2,0.0
130110_train2,0.0
130111_train2,0.0
130112_train2,0.0
130113_train2,0.0
130114_train2,0.0
130115_train2,0.0
130116_train2,0.0
130117_train2,0.0
130118_train2,0.0
130119_train2,0.0
130120_train2,0.0
130121_train2,0.0
130122_train2,0.1399433427762039
130123_train2,0.0
130124_train2,0.0
130125_train2,0.0
130126_train2,0.0
130127_train2,0.0
130128_train2,0.0
130129_train2,0.0
130130_train2,0.0
130131_train2,0.0
130132_train2,0.0
130133_train2,0.0
130134_train2,0.0
130135_train2,0.0
130136_train2,0.0
130137_train2,0.0
130138_train2,0.0
130139_train2,0.0
130140_train2,0.0
130141_train2,0.0
130142_train2,0.0
130143_train2,0.0
130144_train2,0.0
130145_train2,0.0
130146_train2,0.0
130147_train2,0.0
130148_train2,0.0
130149_train2,0.0
130150_train2,0.0
130151_train2,0.0
130152_train2,0.0
130153_train2,0.0
130154_train2,0.0
130155_train2,0.0
130156_train2,0.0
130157_train2,0.0
130158_train2,0.0
130159_train2,0.0
130160_train2,0.0
130161_train2,0.0
130162_train2,0.0
130163_train2,0.0
130164_train2,0.0
130165_train2,0.0
130166_train2,0.0
130167_train2,0.0
130168_train2,0.0
130169_train2,0.0
130170_train2,0.0
130171_train2,0.0
130172_train2,0.0
130173_train2,0.0
130174_train2,0.0
130175_train2,0.0
130176_train2,0.0
130177_train2,0.0
130178_train2,0.0
130179_train2,0.0
130180_train2,0.0
130181_train2,0.0
130182_train2,0.0
130183_train2,0.0
130184_train2,0.0
130185_train2,0.0
130186_train2,0.0
130187_train2,0.0
130188_train2,0.0
130189_train2,0.0
130190_train2,0.0
130191_train2,0.0
130192_train2,0.0
130193_train2,0.0
130194_train2,0.0
130195_train2,0.0
130196_train2,0.0
130197_train2,0.0
130198_train2,0.0
130199_train2,0.011629547515872179
130200_train2,0.0
130201_train2,0.0
130202_train2,0.0
130203_train2,0.0
130204_train2,0.0
130205_train2,0.0
130206_train2,0.0
130207_train2,0.0
130208_train2,0.0
130209_train2,0.0
130210_train2,0.0
130211_train2,0.0
130212_train2,0.0
130213_train2,0.0
130214_train2,0.0
130215_train2,0.0
130216_train2,0.0
130217_train2,0.0
130218_train2,0.0
130219_train2,0.0
130220_train2,0.0
130221_train2,0.0
130222_train2,0.0
130223_train2,0.0
130224_train2,0.0
130225_train2,0.0
130226_train2,0.0
130227_train2,0.0
130228_train2,0.0
130229_train2,0.0
130230_train2,0.0
130231_train2,0.0
130232_train2,0.0
130233_train2,0.0
130234_train2,0.0
130235_train2,0.0
130236_train2,0.0
130237_train2,0.0
130238_train2,0.0
130239_train2,0.0
130240_train2,0.0
130241_train2,0.0
130242_train2,0.0
130243_train2,0.0
130244_train2,0.0
130245_train2,0.0
130246_train2,0.0
130247_train2,0.0
130248_train2,0.0
130249_train2,0.0
130250_train2,0.0
130251_train2,0.0
130252_train2,0.0
130253_train2,0.0
130254_train2,0.0
130255_train2,0.0
130256_train2,0.0
130257_train2,0.0
130258_train2,0.0
130259_train2,0.0
130260_train2,0.0
130261_train2,0.0
130262_train2,0.0
130263_train2,0.0
130264_train2,0.0
130265_train2,0.0
130266_train2,0.0
130267_train2,0.0
130268_train2,0.0
130269_train2,0.0
130270_train2,0.0
130271_train2,0.0
130272_train2,0.0
130273_train2,0.0
130274_train2,0.0
130275_train2,0.0
130276_train2,0.0
130277_train2,0.0
130278_train2,0.0
130279_train2,0.009841569614940595
130280_train2,0.0
130281_train2,0.0
130282_train2,0.0
130283_train2,0.0
130284_train2,0.0
130285_train2,0.0
130286_train2,0.0
130287_train2,0.0
130288_train2,0.0
130289_train2,0.0
130290_train2,0.0
130291_train2,0.0
130292_train2,0.0
130293_train2,0.0
130294_train2,0.0
130295_train2,0.0
130296_train2,0.0
130297_train2,0.0
130298_train2,0.0
130299_train2,0.0
130300_train2,0.0
130301_train2,0.0
130302_train2,0.0
130303_train2,0.0
130304_train2,0.0
130305_train2,0.0
130306_train2,0.0
130307_train2,0.0
130308_train2,0.0
130309_train2,0.0
130310_train2,0.0
130311_train2,0.0
130312_train2,0.0
130313_train2,0.0
130314_train2,0.0
130315_train2,0.0
130316_train2,0.0
130317_train2,0.0
130318_train2,0.0
130319_train2,0.0
130320_train2,0.0
130321_train2,0.0
130322_train2,0.0
130323_train2,0.0
130324_train2,0.0
130325_train2,0.0
130326_train2,0.0
130327_train2,0.0
130328_train2,0.0
130329_train2,0.0
130330_train2,0.0
130331_train2,0.0
130332_train2,0.0
130333_train2,0.0
130334_train2,0.0
130335_train2,0.0
130336_train2,0.0
130337_train2,0.0
130338_train2,0.0
130339_train2,0.0
130340_train2,0.0
130341_train2,0.0
130342_train2,0.0
130343_train2,0.0
130344_train2,0.0
130345_train2,0.0
130346_train2,0.0
130347_train2,0.0
130348_train2,0.0
130349_train2,0.0
130350_train2,0.0
130351_train2,0.0
130352_train2,0.0
130353_train2,0.0
130354_train2,0.0
130355_train2,0.0
130356_train2,0.0
130357_train2,0.0
130358_train2,0.0
130359_train2,0.0
130360_train2,0.0
130361_train2,0.0
130362_train2,0.0
130363_train2,0.0
130364_train2,0.0
130365_train2,0.0
130366_train2,0.0
130367_train2,0.0
130368_train2,0.0
130369_train2,0.0
130370_train2,0.0
130371_train2,0.24900409846764296
130372_train2,0.0
130373_train2,0.0
130374_train2,0.0
130375_train2,0.0
130376_train2,0.0
130377_train2,0.0
130378_train2,0.0
130379_train2,0.0
130380_train2,0.0
130381_train2,0.0
130382_train2,0.0
130383_train2,0.0
130384_train2,0.0
130385_train2,0.0
130386_train2,0.0
130387_train2,0.0
130388_train2,0.0
130389_train2,0.0
130390_train2,0.0
130391_train2,0.0
130392_train2,0.0
130393_train2,0.0
130394_train2,0.0
130395_train2,0.0
130396_train2,0.0
130397_train2,0.0
130398_train2,0.0
130399_train2,0.0
130400_train2,0.0
130401_train2,0.0
130402_train2,0.0
130403_train2,0.0
130404_train2,0.0
130405_train2,0.0
130406_train2,0.0
130407_train2,0.0
130408_train2,0.0
130409_train2,0.0
130410_train2,0.0
130411_train2,0.0
130412_train2,0.0
130413_train2,0.0
130414_train2,0.0
130415_train2,0.0
130416_train2,0.0
130417_train2,0.0
130418_train2,0.0
130419_train2,0.0
130420_train2,0.0
130421_train2,0.0
130422_train2,0.0
130423_train2,0.0
130424_train2,0.0
130425_train2,0.0
130426_train2,0.0
130427_train2,0.0
130428_train2,0.0
130429_train2,0.0
130430_train2,0.0
130431_train2,0.0
130432_train2,0.0
130433_train2,0.0
130434_train2,0.0
130435_train2,0.0
130436_train2,0.0
130437_train2,0.0
130438_train2,0.0
130439_train2,0.0
130440_train2,0.0
130441_train2,0.0
130442_train2,0.0
130443_train2,0.0
130444_train2,0.0
130445_train2,0.0
130446_train2,0.0
130447_train2,0.0
130448_train2,0.0
130449_train2,0.0
130450_train2,0.0
130451_train2,0.0
130452_train2,0.0
130453_train2,0.0
130454_train2,0.0
130455_train2,0.0
130456_train2,0.0
130457_train2,0.0
130458_train2,0.0
130459_train2,0.0
130460_train2,0.0
130461_train2,0.0
130462_train2,0.0
130463_train2,0.0
130464_train2,0.0
130465_train2,0.0
130466_train2,0.0
130467_train2,0.0
130468_train2,0.0
130469_train2,0.0
130470_train2,0.0
130471_train2,0.0
130472_train2,0.0
130473_train2,0.0
130474_train2,0.0
130475_train2,0.0
130476_train2,0.0
130477_train2,0.0
130478_train2,0.0
130479_train2,0.0
130480_train2,0.0
130481_train2,0.0
130482_train2,0.0
130483_train2,0.0
130484_train2,0.0
130485_train2,0.0
130486_train2,0.0
130487_train2,0.0
130488_train2,0.0
130489_train2,0.0
130490_train2,0.0
130491_train2,0.0
130492_train2,0.0
130493_train2,0.0
130494_train2,0.0
130495_train2,0.0
130496_train2,0.0
130497_train2,0.0
130498_train2,0.0
130499_train2,0.0
130500_train2,0.0
130501_train2,0.0
130502_train2,0.0
130503_train2,0.2898084134799359
130504_train2,0.0
130505_train2,0.0
130506_train2,0.007408367631331631
130507_train2,0.0
